#FamilyID	human<0>	chimp<1>	orang<2>	<3>	baboon<4>	macaque<5>	gibbon<6>	<7>	<8>	<9>	horse<10>	cat<11>	marmoset<12>	<13>	cow<14>	<15>	mouse<16>	rat<17>	<18>	<19>	<20>	<21>	<22>	
71	0.0113323	0.172683	0.1595	0.654889	0.01066	4.71586e-20	0.0314999	0.563675	0.426164	0.663691	0.699858	0.699858	0.140158	0.76617	0.709182	0.609822	0.86528	0.417298	0.48136	0.790686	0.349297	0.61501	N/A
72	5.80785e-06	0.590227	0.68368	0.626239	0.0072645	7.75467e-05	0.0195545	0.549866	0.730973	0.633989	0.0952138	0.00202923	0.000546547	0.731006	6.14845e-10	0.631286	0.117998	0.210656	0.00949378	0.0699104	0.465833	0.406215	N/A
73	1.20963e-89	6.43984e-23	0.0003726	0.648088	0.00024791	0.00255954	9.60103e-15	3.37685e-05	0.730973	0.633989	4.65676e-06	5.01727e-09	0.00293325	0.161481	0.00119754	0.598303	0.0202144	6.34363e-08	0.636269	0.215447	0.177282	0.325265	N/A
74	0.607406	0.000136239	0.150983	0.648088	0.609842	0.00386404	0.178134	0.560286	0.75827	0.656666	0.708846	0.533904	0.226836	0.758302	0.903358	0.615379	0.590824	0.850795	0.681803	0.798031	0.753591	0.861569	N/A
76	3.55791e-12	3.62779e-06	0.7101	0.648088	4.0376e-06	1.43246e-05	0.0283461	0.560286	0.75827	0.656666	0.666945	0.884012	0.0664722	0.758302	0.677236	0.592334	0.210656	0.117998	0.186457	0.43971	0.562877	0.84451	N/A
77	1.09294e-11	7.85718e-22	0.00139322	0.602018	0.0450656	0.579974	5.61274e-12	0.539057	0.136659	0.608657	0.000906717	0.00180984	0.000172869	0.696866	0.35582	0.598303	0.0963587	0.310531	0.0175773	0.77398	7.7269e-08	0.000721158	N/A
79	9.57203e-07	0.628534	0.701763	1.69579e-06	0.586237	0.586237	0.324614	0.00196623	0.720447	0.0766089	0.884012	0.128482	0.00293325	0.72048	0.0136806	0.592334	1.1144e-06	9.58565e-05	0.636269	0.76446	0.547545	0.837364	N/A
81	0.607406	0.0634755	0.692966	0.0165407	0.0571774	0.00296734	0.0223635	0.553382	0.740744	0.641826	0.88871	0.491374	0.565648	0.740777	0.892617	0.598303	0.361981	0.844876	0.876685	0.77398	0.562877	0.84451	N/A
83	9.02184e-05	0.596087	0.133553	0.633772	0.149912	0.000306852	0.71706	0.553382	0.740744	0.641826	0.506758	0.892869	0.839278	0.740777	0.699604	0.604131	0.5635	0.345999	0.661286	0.782694	0.737527	0.850845	N/A
87	0.137335	0.590227	4.56036e-07	0.626239	0.592352	0.00255954	0.324614	0.549866	0.730973	0.633989	0.88871	0.491374	0.831871	0.731006	0.892617	0.598303	0.838251	0.345999	0.649436	0.77398	0.907515	0.84451	N/A
88	0.00690718	7.15659e-05	0.285512	0.626239	0.592352	0.592352	0.00459182	0.549866	0.730973	0.633989	0.67908	0.67908	0.331356	0.731006	2.18593e-05	0.598303	0.51104	0.291818	0.649436	0.77398	0.402914	0.343575	N/A
89	0.58423	0.00594338	0.25262	0.0653698	0.598321	0.598321	0.289277	0.542705	0.00470622	0.617417	0.0771027	0.128482	0.151914	0.709126	0.48887	0.592334	0.0875425	0.86528	0.280037	0.76446	0.102935	0.22453	N/A
92	1.48368e-06	0.590227	0.000231268	0.20547	0.00833796	0.149912	0.340884	0.553382	0.740744	0.641826	0.884012	0.884012	0.109205	0.740777	0.88813	0.592334	0.830794	0.830794	0.433402	0.76446	0.903784	0.837364	N/A
93	0.118551	0.00504141	0.25262	0.610373	0.598321	0.598321	0.686152	0.542705	0.173428	0.00617207	0.224408	3.08834e-05	0.0519964	0.381231	0.0169068	0.598303	0.850795	0.377038	0.876685	0.77398	0.301932	0.84451	N/A
94	0.58423	5.55917e-05	0.269454	0.618443	0.598321	0.000306852	0.697128	0.546307	0.0549574	0.625857	0.88871	0.0869408	0.167873	0.72048	0.892617	0.598303	0.850795	0.850795	0.297583	0.77398	0.301932	0.84451	N/A
95	0.00690718	0.137335	0.68368	0.626239	0.140624	0.0531527	0.707414	0.549866	0.730973	0.633989	0.67908	0.0869408	0.549972	0.731006	0.689018	0.598303	0.345999	0.5635	0.649436	0.77398	0.907515	0.84451	N/A
96	3.4109e-05	0.00801157	0.0198129	0.523428	0.0122802	0.508198	0.000333577	0.508203	0.0803951	0.525212	0.816657	0.816657	0.651469	0.116293	0.00272091	0.54627	3.52837e-22	0.0216389	0.00951817	0.6654	1.7004e-19	4.46754e-11	N/A
97	0.00366608	0.0101452	4.08499e-10	0.648088	0.00217953	0.586237	0.356304	0.0309427	0.00415115	0.649382	4.55124e-06	0.23652	2.9965e-06	0.412109	0.0953598	0.111537	0.812732	0.51104	0.00375039	0.383724	0.894693	0.819972	N/A
99	0.000181936	0.58423	0.269454	0.618443	0.131139	0.0491152	0.137337	0.546307	0.720447	0.625857	0.0869408	0.0869408	0.82348	0.72048	0.35582	0.598303	0.51104	0.291818	0.636269	0.215447	0.402914	0.837364	N/A
101	1.87797e-25	0.00206637	0.673872	0.618443	0.573558	0.00150515	0.307434	0.546307	0.0233319	0.625857	0.653339	0.0345573	0.82348	0.72048	0.470611	0.586221	0.812732	0.812732	0.86517	0.754037	0.70622	0.829249	N/A
102	0.00690718	0.00242709	0.124645	0.626239	0.592352	0.140624	0.707414	0.549866	0.730973	0.633989	0.884012	0.884012	0.549972	0.731006	0.88813	0.592334	0.165917	0.310987	0.871314	0.76446	0.71786	0.837364	N/A
103	0.0556712	0.0028143	0.133553	0.633772	4.20332e-12	0.0072645	0.71706	0.553382	0.730973	0.082799	0.67908	0.340506	4.69929e-08	0.161481	0.00119754	0.598303	0.830794	0.547772	0.297583	0.77398	0.728224	0.84451	N/A
105	0.0279981	0.552031	0.176513	0.575125	0.553351	0.00221772	0.20538	0.527843	0.653709	0.580309	0.892869	0.00937439	0.775562	0.261351	5.74674e-28	0.604131	0.774227	0.774227	0.0114441	0.0109562	0.159618	0.30573	N/A
108	5.55917e-05	0.58423	0.673872	0.618443	0.0491152	0.00217953	0.137337	0.546307	0.720447	0.625857	0.474552	0.474552	0.167873	0.72048	0.48887	0.592334	0.547772	0.329024	0.636269	0.76446	0.903784	0.837364	N/A
109	0.0160181	0.530797	0.0395535	0.545223	0.531608	0.531608	0.584679	0.516205	0.598712	0.548533	0.795512	0.0608593	0.685631	0.598732	0.803247	0.539026	4.21657e-14	0.112922	0.0612686	0.254498	1.32374e-14	3.85668e-08	N/A
110	0.571804	0.571804	0.0222313	0.602018	0.573558	0.573558	0.270073	0.539057	0.696834	0.608657	0.67908	0.340506	0.078091	0.327117	2.18593e-05	0.598303	0.165917	0.310987	0.280037	0.215447	0.71786	0.837364	N/A
112	0.58423	0.00206637	0.673872	0.618443	0.00217953	0.00625283	0.0168809	0.546307	0.720447	0.625857	0.884012	0.474552	0.82348	0.72048	0.88813	0.592334	0.830794	0.547772	0.636269	0.76446	0.903784	0.837364	N/A
114	0.00504141	0.578089	0.25262	0.610373	0.579974	0.0053056	0.686152	0.542705	0.709094	0.617417	0.63795	0.63795	0.151914	0.709126	0.649062	0.579959	0.856114	0.391237	0.858063	0.742605	0.0804979	0.194251	N/A
115	1.67754e-10	0.607406	0.701763	0.0883892	4.34376e-09	0.00296734	0.0223635	0.0288894	0.740744	0.641826	0.0445332	0.0217906	0.151914	0.0047092	0.196136	0.55334	0.437787	0.226857	0.0408989	0.312773	0.874175	0.782452	N/A
116	0.0279981	0.000678638	0.615702	0.575125	0.0587966	0.539034	0.00595488	0.527843	0.00841103	0.580309	0.014117	0.14189	0.0679459	0.00131004	0.505457	0.598303	0.286674	0.00711988	0.0175773	0.77398	0.046633	0.238802	N/A
117	0.108866	0.571804	0.652549	0.602018	0.00182787	0.000152656	0.686152	0.0644557	0.709094	0.617417	0.100358	0.63795	4.56919e-05	0.34631	0.649062	0.579959	0.133837	0.271447	0.393973	0.742605	0.69302	0.819972	N/A
118	1.09294e-11	3.0954e-05	0.23496	0.602018	0.573558	0.0410048	0.674429	0.539057	0.696834	0.608657	0.872446	0.17361	0.135551	0.696866	0.649062	0.579959	0.0509835	0.196238	0.604918	0.742605	0.264915	0.544233	N/A
119	0.530797	0.530797	0.601944	0.00109946	0.586237	4.73373e-06	0.00434828	0.524011	0.149188	1.0273e-07	0.0382796	0.600059	1.61809e-08	0.0269273	0.861926	0.566972	3.22208e-11	1.67365e-18	0.140783	0.0312718	0.114082	0.544233	N/A
120	0.558778	0.558778	0.000747078	0.584406	0.560251	0.0328531	0.228211	0.531627	0.669243	0.590118	0.260431	0.022267	0.790277	0.284755	0.275093	0.573544	0.167996	0.429274	0.586008	0.730041	0.00274646	0.0250565	N/A
122	0.530797	0.530797	0.0117101	3.1918e-05	0.566985	0.566985	0.000255638	0.527843	0.683583	0.00296997	0.14189	0.491374	0.00020481	0.000215108	0.0960348	0.598303	0.00471083	0.0103301	0.649436	0.77398	0.907515	0.84451	N/A
125	0.0351084	0.523373	0.555503	0.534521	9.94038e-07	0.0911296	0.0990243	0.512229	0.669243	1.62194e-08	0.000171053	3.51381e-08	9.7887e-16	0.000156606	0.00023552	0.573544	4.21097e-06	3.30668e-12	0.393973	0.383724	0.264915	0.544233	N/A
130	2.10697e-06	4.5823e-07	0.0971909	0.602018	0.111559	0.00442557	0.0119852	0.539057	0.696834	0.608657	0.413166	0.0859641	0.802943	0.696866	0.275093	0.573544	0.133837	0.271447	0.849741	0.730041	0.889031	0.809292	N/A
133	0.0236546	0.515769	0.000193579	9.64668e-06	9.30757e-08	5.99294e-07	0.155432	0.520132	0.653709	0.00177045	0.260431	0.155397	4.901e-13	0.000110202	0.0538337	0.573544	4.47222e-12	1.68822e-19	0.371436	0.730041	0.244532	0.525209	N/A
137	0.578089	4.21165e-05	0.663507	0.610373	0.579974	0.00182787	0.686152	0.542705	0.709094	0.617417	0.865176	0.865176	0.513339	0.709126	0.275093	0.573544	0.801706	0.48944	0.371436	0.730041	0.889031	0.809292	N/A
138	1.35786e-05	1.40617e-08	0.587362	0.555547	2.53701e-05	0.54628	4.97835e-09	0.520132	0.070335	0.559534	0.0771027	1.88288e-09	0.00165493	0.618603	4.30854e-06	0.592334	0.095067	0.633305	2.47054e-05	0.201293	0.0114499	0.20968	N/A
140	0.565368	0.00114839	0.652549	0.155503	0.111559	0.00442557	0.674429	0.539057	0.696834	0.608657	0.388099	0.856517	0.27359	0.696866	0.861926	0.566972	0.465181	0.788988	0.346706	0.716207	0.882315	0.79691	N/A
141	7.82884e-05	0.565368	0.216426	0.593366	0.573558	0.0410048	0.661901	0.535365	0.123867	0.599562	0.23652	0.600059	0.251855	0.683614	0.861926	0.566972	0.48944	0.271447	0.839867	0.716207	0.465817	0.79691	N/A
142	0.0438718	0.578089	0.00180922	0.610373	0.566985	0.101453	0.674429	0.020658	0.683583	0.0578034	0.000226513	0.856517	0.00655537	0.110849	0.861926	0.566972	0.330334	0.71279	0.827984	0.140079	0.254406	0.213729	N/A
145	2.75574e-54	2.19104e-05	0.0878128	0.593366	0.560251	0.560251	0.228211	0.016533	0.669243	0.590118	0.328857	0.0217906	0.409057	0.0975636	0.34322	0.55334	0.684325	0.684325	0.813469	0.684076	0.219947	0.186957	N/A
146	2.13099e-42	3.9997e-14	0.0184635	0.593366	0.553351	0.0287641	8.39924e-10	0.000578731	0.653709	0.580309	0.00038384	0.00228919	1.10944e-05	0.653737	0.000516863	0.573544	0.736733	0.00280621	0.198239	0.156064	0.285609	0.238949	N/A
147	0.00420385	0.571804	0.23496	0.602018	0.00150515	0.0410048	0.674429	0.539057	0.696834	0.608657	0.600059	0.856517	0.802943	0.696866	0.861926	0.566972	0.0468423	0.226857	0.346706	0.716207	0.660303	0.79691	N/A
148	0.565368	2.19104e-05	0.640958	0.593366	0.560251	0.0911296	0.661901	0.535365	0.284705	0.599562	0.136676	0.856517	0.467553	0.683614	0.612167	0.566972	0.0376031	0.530375	0.839867	0.716207	0.22282	0.503887	N/A
149	0.571804	0.0399169	0.0971909	0.602018	0.000115498	0.111559	0.674429	0.539057	0.696834	0.608657	0.846019	0.210863	0.790277	0.123896	0.851911	0.560239	0.774227	0.437787	0.319526	0.700944	0.874175	0.782452	N/A
150	0.000488066	0.545121	0.0783317	0.00201046	0.566985	8.47062e-05	0.00777251	0.531627	0.683583	0.151632	0.282674	1.8298e-05	0.0679459	0.306636	0.877101	0.579959	0.000392524	0.202544	0.849741	0.1716	0.313822	0.262649	N/A
153	0.00273264	0.0888824	0.628691	0.584406	0.560251	0.560251	0.648501	0.531627	0.669243	0.590118	0.600059	0.0382796	0.775562	0.669272	5.10688e-05	0.566972	0.249811	0.788988	0.564283	0.716207	0.882315	0.79691	N/A
155	0.0236546	0.515769	0.00878631	2.0506e-07	6.88363e-13	0.131139	2.46651e-08	0.524011	0.149188	1.0273e-07	9.49396e-05	0.0716972	1.2381e-10	0.34631	0.612167	0.566972	0.00637879	0.0997235	0.0516544	0.716207	0.660303	0.79691	N/A
157	0.545121	0.545121	0.00104002	7.37188e-05	0.579974	0.0053056	0.249745	0.535365	0.136659	0.16583	0.23652	0.856517	0.802943	0.696866	0.861926	0.566972	0.437787	0.774227	0.346706	0.716207	0.660303	0.79691	N/A
159	0.00114839	0.565368	0.0878128	0.593366	0.566985	0.00121195	0.661901	0.535365	0.683583	0.599562	0.856517	0.856517	0.251855	0.683614	0.612167	0.566972	0.465181	0.788988	0.839867	0.716207	0.882315	0.79691	N/A
160	0.0319791	0.0888824	0.196963	0.584406	0.560251	0.00287863	0.648501	0.531627	0.669243	0.590118	0.856517	0.600059	0.228778	0.669272	0.861926	0.566972	0.788988	0.249811	0.564283	0.716207	0.882315	0.79691	N/A
161	0.50798	0.0119539	0.0687556	1.13424e-11	0.586237	9.79818e-08	0.634159	0.527843	0.149188	4.85009e-06	9.35135e-05	0.0323008	9.91171e-14	0.34631	0.000126959	0.54627	0.00874536	0.00274335	0.00750808	0.0175506	0.438036	0.782452	N/A
162	3.31332e-12	0.558778	0.196963	0.584406	0.566985	0.566985	0.000393125	0.531627	0.110823	0.590118	0.846019	0.846019	0.228778	0.669272	0.374833	0.560239	0.774227	0.774227	0.827984	0.700944	0.874175	0.782452	N/A
163	0.578089	3.24895e-13	0.176513	2.61947e-06	0.000716467	5.99294e-07	0.000255638	0.527843	0.653709	0.580309	0.183447	0.0217906	0.758358	0.653737	9.61009e-08	0.55334	0.371148	0.17686	0.813469	0.684076	0.614639	0.76545	N/A
164	0.0319791	0.0888824	0.628691	0.584406	0.0911296	0.560251	0.0935929	0.531627	0.669243	0.590118	0.856517	0.00352864	0.775562	0.669272	0.250727	0.566972	0.774227	0.774227	0.564283	0.716207	0.660303	0.79691	N/A
